Trade #,Pair,Timeframe,Type,Signal,Date/Time,Price,Contracts,Profit,Profit %,Cum. Profit,Cum. Profit %,Run-up,Run-up %,Drawdown,Drawdown %,Risk,Reward,Price USD,Comment,Trade No
1,XAUUSD,1,Entry Long,Buy,1/7/25 4:35,2642.043,542,1198.9,0.08,12835.07,1071.500008,1198.9,0.08,768.56,0.05,1000,1200,,,
2,XAUUSD,1,Entry Long,Buy,1/7/25 8:07,2650.047,426,1197.06,0.11,11636.17,971.4131868,1197.06,0.11,7.24,0,1000,1200,,,
3,XAUUSD,1,Entry Long,Buy,1/7/25 11:30,2649.195,291,845.35,0.11,10439.11,871.4799726,1070.88,0.14,94.58,0.01,1000,1200,,,
4,XAUUSD,1,Entry Long,Buy,1/8/25 3:48,2651.762,466,1197.62,0.1,9593.76,800.9082864,1197.62,0.1,380.72,0.03,1000,1200,,,
5,XAUUSD,1,Entry Short,Sell,1/13/25 3:30,2687.54,394,1199.73,0.11,8396.14,700.9283222,1199.73,0.11,902.26,0.09,1000,1200,,,
6,XAUUSD,1,Entry Short,Sell,1/13/25 8:53,2668.675,301,1197.38,0.15,7196.41,600.7722104,1197.38,0.15,677.25,0.08,1000,1200,,,
7,XAUUSD,1,Entry Short,Sell,1/14/25 8:01,2669.478,1619,-124.66,0,5999.03,500.8122819,1097.68,0.03,124.66,0,1000,1200,,,
8,XAUUSD,1,Entry Short,Sell,1/14/25 8:03,2670.23,494,1198.94,0.09,6123.69,511.2191742,1198.94,0.09,306.28,0.02,1000,1200,,,
9,XAUUSD,1,Entry Long,Buy,1/15/25 4:02,2683.45,609,1198.51,0.07,4924.75,411.1290134,1198.51,0.07,249.69,0.02,1000,1200,,,
10,XAUUSD,1,Entry Long,Buy,1/16/25 3:32,2699.372,453,1199.54,0.1,3726.24,311.07475,1199.54,0.1,811.78,0.07,1000,1200,,,
11,XAUUSD,1,Entry Short,Sell,1/17/25 3:38,2710.598,1593,-1000.4,-0.02,2526.7,210.9344999,984.47,0.02,1000.4,0.02,1000,1200,,,
12,XAUUSD,1,Entry Short,Sell,1/17/25 3:44,2712.095,670,1199.3,0.07,3527.1,294.4501027,1199.3,0.07,646.55,0.04,1000,1200,,,
13,XAUUSD,1,Entry Short,Sell,1/17/25 8:20,2709.458,436,-999.75,-0.08,2327.8,194.3298883,108.13,0.01,999.75,0.08,1000,1200,,,
14,XAUUSD,1,Entry Long,Buy,1/21/25 3:00,2727.895,573,398.24,0.03,3327.55,277.7912277,449.8,0.03,383.91,0.02,1000,1200,,,
15,XAUUSD,1,Entry Long,Buy,1/21/25 11:37,2740.698,343,1196.73,0.13,2929.31,244.5452724,1196.73,0.13,292.58,0.03,1000,1200,,,
16,XAUUSD,1,Entry Long,Buy,1/22/25 10:30,2753.15,371,1134.15,0.11,1732.58,144.6396073,1134.15,0.11,0,0,1000,1200,,,
17,XAUUSD,1,Entry Long,Buy,1/22/25 11:12,2756.668,268,-999.1,-0.14,598.43,49.9582589,958.64,0.13,999.1,0.14,1000,1200,,,
18,XAUUSD,1,Entry Short,Sell,1/23/25 4:56,2746.868,169,-997.61,-0.21,1597.53,133.3653348,253.16,0.05,997.61,0.21,1000,1200,,,
19,XAUUSD,1,Entry Short,Sell,1/23/25 8:16,2742.782,257,1196.34,0.17,2595.14,216.6480223,1196.34,0.17,444.1,0.06,1000,1200,,,
20,XAUUSD,1,Entry Short,Sell,1/23/25 8:47,2740.79,267,-998.58,-0.14,1398.8,116.7749153,763.62,0.1,998.58,0.14,1000,1200,,,
21,XAUUSD,1,Entry Long,Buy,1/24/25 2:38,2773.13,980,1199.52,0.04,2397.38,200.1385805,1199.52,0.04,882,0.03,1000,1200,,,
22,XAUUSD,1,Entry Long,Buy,1/24/25 8:34,2780.413,362,1197.86,0.12,1197.86,100,1197.86,0.12,37.29,0,1000,1200,,,
23, XAUUSD,1, Entry Short,Sell,27-01-2025  02:42:00,2752.771,84,-495.85,-0.21,12380.3,-0.01,125.83,0.05,495.85,0.21,1000,1200,,,
24, XAUUSD,1, Entry Short, Sell,1/27/25 4:02,2758.023,270,-498.96,-0.07,12133.47,-0.01,19.71,0,498.96,0.07,1000,1200,  ,,
25, XAUUSD,1, Entry Short, Sell,1/27/25 4:41,2763.365,148,-249.38,-0.06,11884.09,0,134.68,0.03,249.38,0.06,1000,1200, ,,
26, XAUUSD,1, Entry Short, Sell,1/27/25 8:51,2756.133,38,370.08,0.35,12254.17,0,370.08,0.35,77.6,0.07,1000,1200, ,,
